Date,Open,High,Low,Close*,Adj. close**,Volume
2020-03-18,"2,436.50","2,453.57","2,280.52","2,398.10","2,398.10","8,75,57,80,000"
2020-03-17,"2,425.66","2,553.93","2,367.04","2,529.19","2,529.19","8,35,85,00,000"
2020-03-16,"2,508.59","2,562.98","2,380.94","2,386.13","2,386.13","7,78,15,40,000"
2020-03-13,"2,569.99","2,711.33","2,492.37","2,711.02","2,711.02","8,25,86,70,000"
2020-03-12,"2,630.86","2,660.95","2,478.86","2,480.64","2,480.64","8,82,93,80,000"
2020-03-11,"2,825.60","2,825.60","2,707.22","2,741.38","2,741.38","7,37,41,10,000"
2020-03-10,"2,813.48","2,882.59","2,734.00","2,882.23","2,882.23","7,63,59,60,000"
2020-03-09,"2,863.89","2,863.89","2,734.43","2,746.56","2,746.56","8,42,30,50,000"
2020-03-06,"2,954.20","2,985.93","2,901.54","2,972.37","2,972.37","6,55,21,40,000"
2020-03-05,"3,075.70","3,083.04","2,999.83","3,023.94","3,023.94","5,57,55,50,000"
2020-03-04,"3,045.75","3,130.97","3,034.38","3,130.12","3,130.12","5,03,54,80,000"
2020-03-03,"3,096.46","3,136.72","2,976.63","3,003.37","3,003.37","6,35,59,40,000"
2020-03-02,"2,974.28","3,090.96","2,945.19","3,090.23","3,090.23","6,37,64,00,000"
2020-02-28,"2,916.90","2,959.72","2,855.84","2,954.22","2,954.22","8,56,38,50,000"
2020-02-27,"3,062.54","3,097.07","2,977.39","2,978.76","2,978.76","7,05,88,40,000"
2020-02-26,"3,139.90","3,182.51","3,108.99","3,116.39","3,116.39","5,47,81,10,000"
2020-02-25,"3,238.94","3,246.99","3,118.77","3,128.21","3,128.21","5,59,15,10,000"
2020-02-24,"3,257.61","3,259.81","3,214.65","3,225.89","3,225.89","4,84,29,60,000"
2020-02-21,"3,360.50","3,360.76","3,328.45","3,337.75","3,337.75","3,89,92,70,000"
2020-02-20,"3,380.45","3,389.15","3,341.02","3,373.23","3,373.23","4,00,73,20,000"
2020-02-19,"3,380.39","3,393.52","3,378.83","3,386.15","3,386.15","3,60,01,50,000"
2020-02-18,"3,369.04","3,375.01","3,355.61","3,370.29","3,370.29","3,74,67,20,000"
2020-02-14,"3,378.08","3,380.69","3,366.15","3,380.16","3,380.16","3,39,80,40,000"
2020-02-13,"3,365.90","3,385.09","3,360.52","3,373.94","3,373.94","3,49,82,40,000"
2020-02-12,"3,370.50","3,381.47","3,369.72","3,379.45","3,379.45","3,92,63,80,000"
2020-02-11,"3,365.87","3,375.63","3,352.72","3,357.75","3,357.75","3,76,05,50,000"
2020-02-10,"3,318.28","3,352.26","3,317.77","3,352.09","3,352.09","3,45,03,50,000"
2020-02-07,"3,335.54","3,341.42","3,322.12","3,327.71","3,327.71","3,73,06,50,000"
2020-02-06,"3,344.92","3,347.96","3,334.39","3,345.78","3,345.78","3,86,83,70,000"
2020-02-05,"3,324.91","3,337.58","3,313.75","3,334.69","3,334.69","4,11,77,30,000"
2020-02-04,"3,280.61","3,306.92","3,280.61","3,297.59","3,297.59","3,99,53,20,000"
2020-02-03,"3,235.66","3,268.44","3,235.66","3,248.92","3,248.92","3,75,79,10,000"
2020-01-31,"3,282.33","3,282.33","3,214.68","3,225.52","3,225.52","4,52,78,30,000"
2020-01-30,"3,256.45","3,285.91","3,242.80","3,283.66","3,283.66","3,78,72,50,000"
2020-01-29,"3,289.46","3,293.47","3,271.89","3,273.40","3,273.40","3,58,45,00,000"
2020-01-28,"3,255.35","3,285.78","3,253.22","3,276.24","3,276.24","3,52,67,20,000"
2020-01-27,"3,247.16","3,258.85","3,234.50","3,243.63","3,243.63","3,82,31,00,000"
2020-01-24,"3,333.10","3,333.18","3,281.53","3,295.47","3,295.47","3,70,71,30,000"
2020-01-23,"3,315.77","3,326.88","3,301.87","3,325.54","3,325.54","3,76,48,60,000"
2020-01-22,"3,330.02","3,337.77","3,320.04","3,321.75","3,321.75","3,61,98,50,000"
2020-01-21,"3,321.03","3,329.79","3,316.61","3,320.79","3,320.79","4,10,53,40,000"
2020-01-17,"3,323.66","3,329.88","3,318.86","3,329.62","3,329.62","3,69,81,70,000"
2020-01-16,"3,302.97","3,317.11","3,302.82","3,316.81","3,316.81","3,53,50,80,000"
2020-01-15,"3,282.27","3,298.66","3,280.69","3,289.29","3,289.29","3,71,68,40,000"
2020-01-14,"3,285.35","3,294.25","3,277.19","3,283.15","3,283.15","3,66,51,30,000"
2020-01-13,"3,271.13","3,288.13","3,268.43","3,288.13","3,288.13","3,45,63,80,000"
2020-01-10,"3,281.81","3,282.99","3,260.86","3,265.35","3,265.35","3,21,29,70,000"
2020-01-09,"3,266.03","3,275.58","3,263.67","3,274.70","3,274.70","3,63,83,90,000"
2020-01-08,"3,238.59","3,267.07","3,236.67","3,253.05","3,253.05","3,72,08,90,000"
2020-01-07,"3,241.86","3,244.91","3,232.43","3,237.18","3,237.18","3,42,03,80,000"
2020-01-06,"3,217.55","3,246.84","3,214.64","3,246.28","3,246.28","3,67,40,70,000"
2020-01-03,"3,226.36","3,246.15","3,222.34","3,234.85","3,234.85","3,46,12,90,000"
2020-01-02,"3,244.67","3,258.14","3,235.53","3,257.85","3,257.85","3,45,82,50,000"
2019-12-31,"3,215.18","3,231.72","3,212.03","3,230.78","3,230.78","2,89,38,10,000"
2019-12-30,"3,240.09","3,240.92","3,216.57","3,221.29","3,221.29","3,01,32,90,000"
2019-12-27,"3,247.23","3,247.93","3,234.37","3,240.02","3,240.02","2,42,86,70,000"
2019-12-26,"3,227.20","3,240.08","3,227.20","3,239.91","3,239.91","2,16,06,80,000"
